epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.506,5.78156,44.1677,3.61072,0,0,0,0,3.83127,83.4637,2.35917,0.000650407,0.000650407,0.000650407
2,506.114,3.12682,5.32964,1.81039,0,0,0,0,3.85725,60.8058,2.31373,0.001291,0.001291,0.001291
3,654.453,2.61093,2.91794,1.33831,0.64231,0.24573,0.29841,0.13808,2.19221,6.51803,1.25522,0.00190518,0.00190518,0.00190518
4,800.886,2.41755,2.33525,1.19116,0.66371,0.4878,0.48362,0.20611,2.16774,8.6198,1.10926,0.0018812,0.0018812,0.0018812
5,947.723,2.1491,2.00964,1.10125,0.76885,0.52927,0.63203,0.29806,1.87695,9.309,1.02899,0.0018416,0.0018416,0.0018416
6,1094.25,1.99818,1.80276,1.06965,0.80764,0.32012,0.37705,0.16107,2.14192,14.8892,1.19774,0.001802,0.001802,0.001802
7,1239.87,1.96181,1.61443,1.0504,0.78512,0.68476,0.74853,0.34436,1.83944,5.96406,1.00269,0.0017624,0.0017624,0.0017624
8,1881.38,1.9708,1.53698,1.05781,0.78634,0.76076,0.78811,0.36273,1.72392,5.73565,0.97867,0.0017228,0.0017228,0.0017228
9,2026.16,1.79771,1.39426,1.00115,0.80702,0.72195,0.78435,0.36392,1.64233,4.00407,0.96748,0.0016832,0.0016832,0.0016832
10,2172.44,1.74091,1.37731,0.99148,0.83617,0.84695,0.8829,0.40949,1.60841,4.22018,0.96413,0.0016436,0.0016436,0.0016436
11,2318.1,1.70411,1.28958,0.99196,0.85022,0.89299,0.88756,0.43271,1.6517,6.9007,0.95806,0.001604,0.001604,0.001604
12,2463.59,1.71316,1.2625,0.98847,0.8815,0.87866,0.91076,0.47683,1.49217,6.05974,0.93282,0.0015644,0.0015644,0.0015644
13,2609.03,1.60765,1.14029,0.97118,0.87839,0.88963,0.91787,0.50934,1.41449,3.80813,0.92197,0.0015248,0.0015248,0.0015248
14,3796.21,1.60621,1.13564,0.97075,0.90435,0.88415,0.93049,0.49062,1.43669,3.56408,0.92677,0.0014852,0.0014852,0.0014852
15,3948.78,1.64186,1.1138,0.97897,0.90504,0.90183,0.92933,0.51314,1.42884,3.65905,0.92338,0.0014456,0.0014456,0.0014456
16,4140.89,1.55197,1.05175,0.96026,0.87586,0.89268,0.9265,0.4835,1.46482,3.12958,0.94048,0.001406,0.001406,0.001406
17,4319.02,1.5481,0.99793,0.94707,0.90181,0.91282,0.9408,0.53686,1.37436,3.43306,0.91708,0.0013664,0.0013664,0.0013664
18,4510.34,1.52972,0.98098,0.95604,0.91838,0.91256,0.94069,0.50695,1.43448,2.5983,0.9173,0.0013268,0.0013268,0.0013268
19,4695.08,1.533,0.99069,0.95368,0.90895,0.91341,0.94676,0.53893,1.385,2.76935,0.91009,0.0012872,0.0012872,0.0012872
20,4878,1.49496,0.94527,0.94937,0.91385,0.91198,0.94766,0.54203,1.33472,3.04955,0.90035,0.0012476,0.0012476,0.0012476
21,5067.48,1.47247,0.92133,0.93108,0.9488,0.89573,0.9526,0.54829,1.31209,2.24681,0.89891,0.001208,0.001208,0.001208
22,5253.78,1.40623,0.87013,0.93549,0.934,0.9122,0.95232,0.54019,1.39531,2.08789,0.90992,0.0011684,0.0011684,0.0011684
23,5440.67,1.46566,0.89944,0.94917,0.93634,0.89685,0.94486,0.52784,1.36576,2.05231,0.90278,0.0011288,0.0011288,0.0011288
24,5626.81,1.50138,0.88653,0.93482,0.94633,0.91385,0.95062,0.53681,1.30376,1.87759,0.89587,0.0010892,0.0010892,0.0010892
25,5810.63,1.38934,0.8479,0.91425,0.94817,0.93415,0.96183,0.59429,1.25065,1.71261,0.88367,0.0010496,0.0010496,0.0010496
26,6000.6,1.3471,0.80386,0.91455,0.94785,0.94756,0.96588,0.56715,1.23227,2.01084,0.88071,0.00101,0.00101,0.00101
27,6196.6,1.31417,0.78351,0.9144,0.94162,0.94817,0.96283,0.57177,1.22327,1.77879,0.88013,0.0009704,0.0009704,0.0009704
28,6391.49,1.2979,0.77556,0.91686,0.94965,0.93159,0.96228,0.59414,1.22104,2.70315,0.87351,0.0009308,0.0009308,0.0009308
29,6576.59,1.29551,0.7844,0.91551,0.93532,0.92012,0.96061,0.60906,1.20589,1.43426,0.87535,0.0008912,0.0008912,0.0008912
30,6765.19,1.28529,0.7761,0.90605,0.95378,0.9185,0.96014,0.60031,1.1564,1.48838,0.86246,0.0008516,0.0008516,0.0008516
31,7041.53,1.25073,0.74065,0.9034,0.9594,0.93652,0.96636,0.60324,1.18286,2.73126,0.86636,0.000812,0.000812,0.000812
32,7353.65,1.24142,0.72586,0.89954,0.9524,0.93659,0.95985,0.60873,1.18712,2.57157,0.86154,0.0007724,0.0007724,0.0007724
33,7665.41,1.25678,0.7129,0.89982,0.96694,0.92748,0.9637,0.62353,1.14625,1.27425,0.86005,0.0007328,0.0007328,0.0007328
34,7983.61,1.24943,0.71957,0.89357,0.97438,0.92743,0.97244,0.62287,1.12689,1.25134,0.85771,0.0006932,0.0006932,0.0006932
35,8293.82,1.24785,0.71575,0.90342,0.96527,0.94896,0.96971,0.62625,1.10978,1.20582,0.85935,0.0006536,0.0006536,0.0006536
36,8539.16,1.18644,0.68406,0.89199,0.95521,0.9439,0.96794,0.62754,1.1379,1.32688,0.86093,0.000614,0.000614,0.000614
37,8701.95,1.21395,0.69171,0.89433,0.95266,0.94207,0.97413,0.65411,1.0765,1.46664,0.84841,0.0005744,0.0005744,0.0005744
