epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.722,5.02692,89.242,2.86534,0,0,0,0,2.3819,132.689,1.40425,0.00062,0.00062,0.00062
2,267.95,3.63172,12.0254,2.48556,0,0,0,0,1.57286,63.4314,0.94023,0.00113526,0.00113526,0.00113526
3,419.435,2.91523,5.06038,1.47526,0,0,0,0,2.35184,68.6661,1.19355,0.0015238,0.0015238,0.0015238
4,579.379,2.53185,3.47148,1.24188,0.66151,0.21023,0.19806,0.06181,2.44421,4.20692,1.35357,0.001406,0.001406,0.001406
5,732.073,2.36256,2.92867,1.16209,0.74264,0.34368,0.44728,0.20568,2.17483,2.51087,1.13114,0.001208,0.001208,0.001208
6,890.712,2.09602,2.52092,1.07202,0.70863,0.49241,0.55751,0.27072,2.08276,2.13206,1.06827,0.00101,0.00101,0.00101
7,1049.78,1.90845,2.2464,1.03624,0.71316,0.55076,0.64626,0.29171,1.9144,1.97185,1.04629,0.000812,0.000812,0.000812
8,1204.45,1.81976,2.01014,1.02286,0.76564,0.6219,0.72203,0.32639,1.86485,1.79739,1.03275,0.000614,0.000614,0.000614
9,1365.18,1.73492,1.85694,1.00356,0.73082,0.67494,0.73758,0.3439,1.8327,1.82901,1.01764,0.000416,0.000416,0.000416
10,1523.09,1.66093,1.73302,0.96569,0.77189,0.64828,0.72689,0.35827,1.7946,1.71768,1.00716,0.000218,0.000218,0.000218
